KIBB,,MHBOS,e_epayment_log,/,/,/,"Model 5B
Key: sys_time in YYYY-MM-DD HH
Partition: YEAR_MONTH (sys_time in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R ",,irem-trx,irem-8,KIBB,,
NTT,CK,MHBOS,e_trust_withdrawal,/,/,/,"Model 5B
Key: con_date in YYYY-MM-DD HH
Partition: YEAR_MONTH (con_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R ",,irem-ledger,irem-5a,NTT,,
KIBB,,MHBOS,m_3rd_party_pledgor,/,/,/,"Model 5B
Key: Date_Created in YYYY-MM-DD
Partition: YEAR_MONTH (Date_Created in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R ",,irem-pledgor,irem-9,KIBB,,
NTT,Fatihah,MHBOS,m_bank,/,/,/,Model 2A,,,,,,"RAW: N/A (as it's full extraction)
COM_T: COM_R where etl_dt = <last available date>",,irem-acc-bank,irem-2a,NTT,,
NTT,Fatihah,MHBOS,m_bank_giro,/,/,/,Model 2A,,,,,,"RAW: N/A (as it's full extraction)
COM_T: COM_R where etl_dt = <last available date>",,irem-ref; irem-bank-nrt;irem-acc-bank,irem-2a,NTT,,
NTT,CK,MHBOS,m_branch,/,/,/,Model 2A,,,,,,"RAW: N/A (as it's full extraction)
COM_T: COM_R where etl_dt = <last available date>",,irem-acc; irem-ledger; reim-cust;einv-acc;einv-cust;einv_ref;einv-agent-profile;irem-trx,irem-2a,NTT,,
KIBB,,MHBOS,m_client,/,/,/,"Model 3, 
Key: client_no
Partition: N/A",/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod only)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,irem-acc; irem-ref; irem-acc-con; irem-ledger;irem-acc-trader; irem-stock-bal;irem-crs; irem-cust;einv-acc;einv-cust;einv-trx;ailab-mhbos,irem-1a,KIBB,,
NTT,CK,MHBOS,m_client_bank_account,/,/,,,,,,,,RAW: All (Prod),,irem-bank-nrt,irem-3,NTT,,Custom query for MHBOS bank account info
KIBB,,MHBOS,m_client_crs,/,/,/,Model 2A,,,,,,"RAW: N/A (it's full extraction)
COM_T: COM_R where etl_dt = <last available date>",,irem-acc; irem-crs;irem-cust;einv-acc;einv-cust,irem-1a,KIBB,,
KIBB,,MHBOS,m_client_ext,/,/,/,"Model 3, 
Key: client_no
Partition: N/A",,,,,,"RAW: All (Prod)
COM_T: COM_T where etl_dt = <last available date>",,irem-acc; irem-ledger;irem-acc-trader;irem-cust;einv-acc;einv-cust;ailab-mhbos,irem-1a,KIBB,,
NTT,CK,MHBOS,m_client_thirdparty,/,/,/,"Model 3
Key: thirdpartyid",,,,,,"RAW: all (Prod only)
COM_T: select top 1 from COM_R partition by thirdpartyid order by etl_dt desc ",,irem-acc-rel;irem-acc-bank,irem-2a,NTT,,
NTT,CK,MHBOS,m_control,/,/,/,"Model 3
Key: Program_Id",,,,,,"RAW: All (Prod)
COM_T: COM_R where etl_dt = <last available date>",,irem-ref; irem-ledger,irem-5a,NTT,,
KIBB,syhmi,MHBOS,m_country,/,/,/,"Model 1
Key: country_code",,,,,,"RAW: N/A (it's full extraction)
COM_T: COM_R where etl_dt = <last available date>",cur.ref_country,irem-acc; irem-ref;irem-cust;einv-cust,irem-1a,KIBB,,
KIBB,,MHBOS,m_exchange,/,/,/,"Model 1
Key: exchange_code",,,,,,"RAW: N/A
COM_T: COM_R where etl_dt = <last available date>",,irem-stock,irem-7,KIBB,,
KIBB,,MHBOS,m_gl_group_code,/,/,/,"Model 1
Key: group_code",,,,,,"RAW: N/A
COM_T: COM_R where etl_dt = <last available date>",,irem-ref,irem-6a,KIBB,,
